Open,High,Low,Close,Date
1328.83,1344.66,1327.36,1333.72,10/23/13 00:00
1331.99,1348.55,1329.72,1345.27,10/24/13 00:00
1340.99,1351.85,1336.61,1341.33,10/25/13 00:00
1341.96,1355.55,1340.78,1345.28,10/26/13 00:00
1348.0,1348.0,1345.28,1345.28,10/27/13 00:00
1348.0,1354.14,1345.28,1352.39,10/28/13 00:00
1350.8,1361.61,1340.43,1346.73,10/29/13 00:00
1348.61,1358.73,1338.94,1354.21,10/30/13 00:00
1355.55,1359.41,1322.68,1326.16,10/31/13 00:00
1326.95,1331.11,1311.68,1313.71,11/01/13 00:00
1314.3,1317.38,1306.08,1315.74,11/02/13 00:00
1315.3,1315.74,1315.3,1315.74,11/03/13 00:00
1315.3,1322.26,1311.32,1318.7,11/04/13 00:00
1317.62,1320.77,1309.26,1316.82,11/05/13 00:00
1312.95,1321.98,1305.85,1318.49,11/06/13 00:00
1317.17,1325.98,1297.11,1316.15,11/07/13 00:00
1307.52,1314.19,1290.61,1302.45,11/08/13 00:00
1289.77,1296.38,1281.04,1283.5,11/09/13 00:00
1283.5,1283.5,1283.5,1283.5,11/10/13 00:00
1283.5,1288.51,1279.14,1283.25,11/11/13 00:00
1283.93,1285.18,1276.5,1282.39,11/12/13 00:00
1279.98,1283.19,1261.4,1276.6,11/13/13 00:00
1274.44,1287.88,1268.28,1282.51,11/14/13 00:00
1284.37,1294.16,1280.33,1283.03,11/15/13 00:00
1286.38,1290.14,1285.0,1289.12,11/16/13 00:00
1285.0,1289.12,1285.0,1289.12,11/17/13 00:00
1285.0,1289.36,1277.52,1281.2,11/18/13 00:00
1282.03,1285.11,1269.16,1275.27,11/19/13 00:00
1274.19,1278.68,1258.91,1261.92,11/20/13 00:00
1261.02,1268.21,1240.85,1246.7,11/21/13 00:00
1241.56,1248.78,1236.77,1246.24,11/22/13 00:00
1246.29,1247.66,1238.0,1238.0,11/23/13 00:00
1238.0,1238.0,1238.0,1238.0,11/24/13 00:00
1238.0,1244.16,1227.67,1229.06,11/25/13 00:00
1235.13,1257.67,1234.06,1246.91,11/26/13 00:00
1242.22,1254.51,1239.59,1251.05,11/27/13 00:00
1249.16,1251.21,1234.75,1244.23,11/28/13 00:00
1244.48,1253.99,1240.72,1252.16,11/29/13 00:00
1251.05,1254.64,1250.35,1252.5,11/30/13 00:00
1252.5,1252.5,1252.5,1252.5,12/01/13 00:00
1252.5,1252.5,1233.78,1237.21,12/02/13 00:00
1235.56,1238.55,1217.73,1221.55,12/03/13 00:00
1218.81,1227.07,1211.66,1225.74,12/04/13 00:00
1226.74,1251.31,1222.42,1228.64,12/05/13 00:00
1224.77,1239.43,1212.87,1220.97,12/06/13 00:00
1231.84,1243.69,1223.46,1225.2,12/07/13 00:00
1225.2,1225.2,1225.2,1225.2,12/08/13 00:00
1225.2,1233.13,1225.2,1231.78,12/09/13 00:00
1233.33,1261.25,1230.96,1259.83,12/10/13 00:00
1265.96,1267.71,1253.74,1256.91,12/11/13 00:00
1259.73,1263.22,1233.23,1234.43,12/12/13 00:00
1229.67,1236.2,1220.65,1230.94,12/13/13 00:00
1232.94,1238.52,1231.29,1233.9,12/14/13 00:00
1233.9,1233.9,1233.9,1233.9,12/15/13 00:00
1233.9,1238.25,1227.71,1235.29,12/16/13 00:00
1236.21,1251.86,1230.02,1233.05,12/17/13 00:00
1233.33,1242.82,1227.38,1232.01,12/18/13 00:00
1233.75,1244.38,1198.03,1202.07,12/19/13 00:00
1201.96,1204.91,1186.84,1192.67,12/20/13 00:00
1196.04,1207.37,1192.99,1198.3,12/21/13 00:00
1198.3,1198.3,1198.3,1198.3,12/22/13 00:00
1198.3,1206.13,1192.7,1202.82,12/23/13 00:00
1198.67,1203.75,1196.16,1201.2,12/24/13 00:00
1200.54,1205.43,1198.33,1204.32,12/25/13 00:00
1204.34,1214.28,1196.73,1208.88,12/26/13 00:00
1215.19,1218.6,1208.87,1212.85,12/27/13 00:00
1216.19,1218.83,1211.42,1212.79,12/28/13 00:00
1212.79,1212.79,1212.79,1212.79,12/29/13 00:00
1212.79,1215.93,1200.86,1204.56,12/30/13 00:00
1206.62,1208.42,1182.6,1197.98,12/31/13 00:00
1188.14,1214.21,1185.45,1205.15,01/01/14 00:00
1205.15,1228.26,1203.21,1220.74,01/02/14 00:00
1222.71,1238.55,1221.28,1227.85,01/03/14 00:00
1230.21,1240.11,1228.21,1231.9,01/04/14 00:00
1231.9,1231.9,1231.9,1231.9,01/05/14 00:00
1231.9,1246.15,1231.9,1241.08,01/06/14 00:00
1241.48,1248.26,1217.04,1238.69,01/07/14 00:00
1228.74,1235.61,1220.55,1227.1,01/08/14 00:00
1222.87,1231.05,1218.52,1229.88,01/09/14 00:00
1224.79,1244.97,1223.54,1228.6,01/10/14 00:00
1241.15,1248.76,1238.98,1243.8,01/11/14 00:00
1243.8,1243.8,1243.8,1243.8,01/12/14 00:00
1243.8,1254.17,1243.69,1245.54,01/13/14 00:00
1247.0,1254.86,1244.71,1250.56,01/14/14 00:00
1249.69,1255.11,1234.96,1238.95,01/15/14 00:00
1235.73,1243.71,1234.32,1238.25,01/16/14 00:00
1242.48,1249.48,1237.74,1243.92,01/17/14 00:00
1248.08,1254.8,1246.87,1254.8,01/18/14 00:00
1254.8,1254.8,1254.8,1254.8,01/19/14 00:00
1254.8,1259.6,1252.57,1256.26,01/20/14 00:00
1255.1,1256.83,1235.87,1238.68,01/21/14 00:00
1236.8,1244.05,1235.81,1242.68,01/22/14 00:00
1240.76,1258.03,1231.52,1250.86,01/23/14 00:00
1254.7,1272.44,1254.28,1266.33,01/24/14 00:00
1265.61,1270.18,1260.72,1267.74,01/25/14 00:00
1267.74,1267.74,1267.74,1267.74,01/26/14 00:00
1267.74,1278.56,1258.63,1260.13,01/27/14 00:00
1261.27,1265.56,1251.93,1253.83,01/28/14 00:00
1258.32,1268.86,1248.97,1263.69,01/29/14 00:00
1267.19,1269.73,1238.92,1244.59,01/30/14 00:00
1240.79,1254.72,1238.1,1252.68,01/31/14 00:00
1250.92,1253.29,1239.44,1239.84,02/01/14 00:00
1239.84,1239.84,1239.84,1239.84,02/02/14 00:00
1239.84,1248.74,1239.84,1246.45,02/03/14 00:00
1249.68,1266.0,1246.72,1249.23,02/04/14 00:00
1248.33,1273.56,1247.88,1270.38,02/05/14 00:00
1262.76,1266.5,1252.65,1258.43,02/06/14 00:00
1258.67,1271.46,1252.78,1257.91,02/07/14 00:00
1257.86,1267.87,1257.46,1262.4,02/08/14 00:00
1262.4,1262.4,1262.4,1262.4,02/09/14 00:00
